dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
fashion,easiest_balanced,50,1,64.5320888556073,0.679,0.2272,259.3065629005432,8.624274969100952,18.668995141983032,286.5998330116272
fashion,easiest_balanced,50,2,69.77644565407687,0.6921,0.2349,260.81780982017517,8.19572138786316,18.96893286705017,287.9824640750885
fashion,easiest_balanced,50,3,70.71659101456984,0.6828,0.2294,263.194087266922,8.359599590301514,18.66760230064392,290.22128915786743
fashion,easiest_balanced,60,1,58.66268643442537,0.6732,0.2356,313.6387507915497,8.390583276748657,18.703027486801147,340.7323615550995
fashion,easiest_balanced,60,2,68.16439915671269,0.659,0.2469,313.6202290058136,8.34496283531189,19.187793254852295,341.1529850959778
fashion,easiest_balanced,60,3,58.874890273322976,0.6662,0.2468,314.5990240573883,8.320913076400757,19.250054359436035,342.1699914932251
fashion,easiest_balanced,70,1,42.80254302046153,0.7,0.2841,360.61064648628235,8.423526763916016,18.98815941810608,388.02233266830444
fashion,easiest_balanced,70,2,53.0979500855708,0.6829,0.2783,360.75354504585266,8.137801885604858,19.31852960586548,388.209876537323
fashion,easiest_balanced,70,3,43.63540998451646,0.6781,0.2762,361.6329810619354,8.332707405090332,18.789586782455444,388.7552752494812
fashion,easiest_balanced,80,1,42.18784995321528,0.6895,0.3054,413.6671793460846,8.192003965377808,19.131864309310913,440.9910476207733
fashion,easiest_balanced,80,2,44.61610086625819,0.7032,0.2715,408.91836619377136,8.22813081741333,19.335773706436157,436.48227071762085
fashion,easiest_balanced,80,3,41.58147914129243,0.6874,0.2948,418.93518567085266,8.37662386894226,18.66301202774048,445.9748215675354
fashion,easiest_balanced,90,1,37.841393125308166,0.7166,0.3068,455.33925318717957,8.254591464996338,18.810195684432983,482.4040403366089
fashion,easiest_balanced,90,2,35.28576792477381,0.6878,0.2746,455.78312063217163,8.253446817398071,19.007136344909668,483.04370379447937
fashion,easiest_balanced,90,3,37.18477987160164,0.7173,0.3187,457.09671354293823,8.354782819747925,19.66187024116516,485.1133666038513
