dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
fashion,easiest,50,1,171.61642330778963,0.6498,0.1642,284.42231583595276,8.94439959526062,17.79192090034485,311.1586363315582
fashion,easiest,50,2,179.36594889623046,0.6578,0.1845,269.29145526885986,8.20433497428894,17.326863050460815,294.8226532936096
fashion,easiest,50,3,164.68548515536133,0.599,0.2149,263.05540013313293,8.348494291305542,17.104129791259766,288.50802421569824
fashion,easiest,60,1,85.97262314483145,0.6287,0.2444,316.564003944397,8.42756962776184,18.649579763412476,343.6411533355713
fashion,easiest,60,2,86.49870844453339,0.6247,0.2299,313.7751953601837,8.25373888015747,18.184563636779785,340.213497877121
fashion,easiest,60,3,88.78973136209144,0.6733,0.2133,320.0635223388672,8.456244230270386,19.405686616897583,347.92545318603516
fashion,easiest,70,1,41.21430970646426,0.676,0.2492,362.3346734046936,8.324656963348389,17.85836124420166,388.51769161224365
fashion,easiest,70,2,38.820595968383955,0.6608,0.2372,363.50937962532043,8.317026376724243,18.302818059921265,390.12922406196594
fashion,easiest,70,3,32.91967722742989,0.6508,0.2653,386.25958609580994,9.122076272964478,17.811497449874878,413.1931598186493
fashion,easiest,80,1,22.997984465172358,0.6881,0.3108,473.628164768219,8.59201169013977,18.317404985427856,500.5375814437866
fashion,easiest,80,2,28.425733456016587,0.6961,0.2851,459.93607330322266,8.572626829147339,19.273690938949585,487.7823910713196
fashion,easiest,80,3,23.85610559283274,0.6723,0.3112,446.0232677459717,8.896530866622925,18.71575617790222,473.6355547904968
fashion,easiest,90,1,26.82996990670371,0.7195,0.3142,463.8766531944275,8.359692573547363,18.54700469970703,490.7833504676819
fashion,easiest,90,2,29.283057049757385,0.6999,0.3305,458.01878547668457,8.268453359603882,18.82548713684082,485.1127259731293
fashion,easiest,90,3,24.756534466867834,0.7089,0.302,472.62006425857544,8.193395853042603,18.61073064804077,499.4241907596588
