dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
cifar10,easiest_balanced,50,1,20.82872,0.2911,0.247,749.224452495575,270.2333092689514,295.55921840667725,1315.0169801712036
cifar10,easiest_balanced,50,2,22.663904,0.2975,0.2395,747.9023833274841,271.0721743106842,296.27968549728394,1315.2542431354523
cifar10,easiest_balanced,50,3,20.249395,0.2369,0.2473,749.2397265434265,270.23294377326965,296.72723412513733,1316.1999044418335
cifar10,easiest_balanced,60,1,22.219147,0.2871,0.2333,892.2918355464935,270.2109775543213,309.8948333263397,1472.3976464271545
cifar10,easiest_balanced,60,2,23.147888,0.2829,0.2657,916.1375870704651,277.2929437160492,300.37659072875977,1493.807121515274
cifar10,easiest_balanced,60,3,19.615623,0.2611,0.2726,897.7724356651306,272.0817849636078,298.8170976638794,1468.6713182926178
cifar10,easiest_balanced,70,1,21.464748,0.2822,0.2734,1040.713500738144,268.35720038414,322.3132953643799,1631.3839964866638
cifar10,easiest_balanced,70,2,21.03188,0.2727,0.2821,1040.3941161632538,270.63786816596985,306.3606655597687,1617.3926498889923
cifar10,easiest_balanced,70,3,19.756174,0.251,0.2666,1035.6620938777924,274.54223442077637,299.2835328578949,1609.4878611564636
cifar10,easiest_balanced,80,1,20.168755,0.2586,0.2862,1181.715295791626,272.2122116088867,303.29907488822937,1757.226582288742
cifar10,easiest_balanced,80,2,21.226328,0.254,0.2853,1168.8610651493073,274.5047597885132,302.91326808929443,1746.2790930271149
cifar10,easiest_balanced,80,3,22.161325,0.2745,0.2751,1171.321551322937,274.3330035209656,303.1636915206909,1748.8182463645935
cifar10,easiest_balanced,90,1,21.397343,0.2538,0.2933,1326.7375507354736,271.43758511543274,298.17585849761963,1896.350994348526
cifar10,easiest_balanced,90,2,20.659958,0.2614,0.2716,1317.5325682163239,273.19267892837524,295.2609534263611,1885.9862005710602
cifar10,easiest_balanced,90,3,19.628891,0.2695,0.2675,1318.5567820072174,274.50071477890015,294.5334062576294,1887.590903043747
