dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
fashion,easiest,50,1,112.24480902158294,264.3186299800873,9.231204271316528,273.5498342514038
fashion,easiest,50,2,111.12228846767964,263.8526780605316,8.411402463912964,272.2640805244446
fashion,easiest,50,3,114.02568485654261,262.7279689311981,8.557122707366943,271.28509163856506
fashion,easiest,60,1,62.09704793856364,311.8716742992401,8.444308519363403,320.3159828186035
fashion,easiest,60,2,58.48558149015684,311.9539110660553,8.539880514144897,320.4937915802002
fashion,easiest,60,3,68.58557288725936,313.5001230239868,8.58276104927063,322.08288407325745
fashion,easiest,70,1,43.72967179787066,360.2748484611511,8.404644966125488,368.6794934272766
fashion,easiest,70,2,42.382088316059104,359.84596276283264,8.643340826034546,368.4893035888672
fashion,easiest,70,3,40.236241035111156,364.0703010559082,8.415034532546997,372.4853355884552
fashion,easiest,80,1,38.855615146576405,410.82122707366943,8.436971426010132,419.25819849967957
fashion,easiest,80,2,41.51947285404874,411.1936025619507,8.464953422546387,419.65855598449707
fashion,easiest,80,3,45.71861489185474,410.25289511680603,8.624427556991577,418.8773226737976
fashion,easiest,90,1,43.18071350501678,459.10470604896545,8.730918645858765,467.8356246948242
fashion,easiest,90,2,35.358507208511085,458.3265964984894,8.54044246673584,466.8670389652252
fashion,easiest,90,3,41.35259037452436,459.15511322021484,8.478525161743164,467.633638381958
