dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
fashion,random,50,1,36.68722609769142,0.6751,0.2523,293.5101430416107,8.82750391960144,19.194059371948242,321.5317063331604
fashion,random,50,2,38.31402967266931,0.683,0.2574,280.7537291049957,8.47784686088562,19.947561025619507,309.17913699150085
fashion,random,50,3,34.28815179214901,0.6997,0.2657,276.0033254623413,8.190088748931885,19.344539403915405,303.5379536151886
fashion,random,60,1,30.898941255074178,0.6895,0.3023,321.6201171875,8.315140724182129,19.157179355621338,349.09243726730347
fashion,random,60,2,41.62173060377292,0.6624,0.2851,321.2634346485138,8.290429592132568,18.454925537109375,348.00878977775574
fashion,random,60,3,35.679818686667566,0.67,0.2806,322.04807329177856,8.399445295333862,19.34082293510437,349.7883415222168
fashion,random,70,1,35.200979548222584,0.6843,0.3033,361.36697268486023,8.35893440246582,18.85170865058899,388.57761573791504
fashion,random,70,2,39.59318064799253,0.6666,0.2963,368.3403832912445,8.284809827804565,18.84061050415039,395.46580362319946
fashion,random,70,3,39.7799090176899,0.6777,0.2935,362.4518883228302,8.210094213485718,18.268600940704346,388.93058347702026
fashion,random,80,1,35.47626980693737,0.7015,0.3067,413.99167037010193,8.191039562225342,18.763392686843872,440.94610261917114
fashion,random,80,2,37.592997758622346,0.6707,0.3117,412.65008187294006,8.455995321273804,18.690257787704468,439.79633498191833
fashion,random,80,3,31.452907878027446,0.7093,0.3101,410.4279236793518,8.353026866912842,18.625559329986572,437.4065098762512
fashion,random,90,1,34.09925344752192,0.6963,0.3388,459.34399032592773,8.479720830917358,18.747318744659424,486.5710299015045
fashion,random,90,2,32.646382980244226,0.6989,0.3437,459.2107493877411,8.27930760383606,21.530582427978516,489.02063941955566
fashion,random,90,3,33.885154922984206,0.7065,0.3133,457.0726218223572,8.444424867630005,18.83726930618286,484.35431599617004
fashion,random,100,1,28.48870141115771,0.7079,0.3453,491.74346590042114,8.281519412994385,18.72378420829773,518.7487695217133
fashion,random,100,2,29.416725453691985,0.7227,0.3049,491.0702509880066,8.4446439743042,19.212876558303833,518.7277715206146
fashion,random,100,3,35.179293153913896,0.7097,0.3482,493.7334854602814,8.293878316879272,18.452942609786987,520.4803063869476
