dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
cifar10,random,50,1,28.748322,0.2905,0.2366,758.4594023227692,271.2223708629608,297.60404348373413,1327.285816669464
cifar10,random,50,2,28.576813,0.298,0.2423,762.4656999111176,271.85616421699524,313.64613938331604,1347.9680035114288
cifar10,random,50,3,28.686241,0.2831,0.2353,763.4424223899841,271.44444274902344,314.0565767288208,1348.9434418678284
cifar10,random,60,1,26.106667,0.2882,0.2203,910.7795281410217,272.35991883277893,315.06673979759216,1498.2061867713928
cifar10,random,60,2,24.862932,0.2909,0.2638,910.3217332363129,270.3125877380371,324.09177803993225,1504.7260990142822
cifar10,random,60,3,25.820995,0.277,0.2571,909.4158763885498,274.5072441101074,317.8662042617798,1501.789324760437
cifar10,random,70,1,24.800098,0.28,0.2587,1056.9720096588135,273.57564210891724,318.54966378211975,1649.0973155498505
cifar10,random,70,2,24.71672,0.2872,0.2491,1051.7961730957031,272.961062669754,305.54789328575134,1630.3051290512085
cifar10,random,70,3,24.144434,0.2747,0.2537,1051.5009124279022,271.60295367240906,341.9490170478821,1665.0528831481934
cifar10,random,80,1,22.243952,0.2696,0.2362,1213.6319737434387,272.1615402698517,305.06734132766724,1790.8608553409576
cifar10,random,80,2,22.617462,0.2821,0.2568,1196.436334848404,271.5432050228119,306.0954945087433,1774.075034379959
cifar10,random,80,3,22.62018,0.2656,0.2821,1198.6092200279236,275.7895829677582,308.1463601589203,1782.545163154602
cifar10,random,90,1,22.264519,0.2647,0.2756,1335.4891493320465,271.3060281276703,280.92969942092896,1887.7248768806458
cifar10,random,90,2,23.414364,0.3021,0.2574,1324.1652278900146,266.69140887260437,282.5470585823059,1873.403695344925
cifar10,random,90,3,22.196777,0.2526,0.286,1323.216200351715,266.86919832229614,284.49587202072144,1874.5812706947327
cifar10,random,100,1,21.853119,0.2818,0.2676,1467.463091135025,271.3005847930908,279.45379543304443,2018.2174713611603
cifar10,random,100,2,21.816128,0.2689,0.2826,1465.9389915466309,268.7765486240387,283.30320286750793,2018.0187430381775
cifar10,random,100,3,21.234184,0.2743,0.2678,1467.9673080444336,270.0362432003021,281.7347958087921,2019.7383470535278
