dataset,strategy,percentage,trial,fid_score,precision,recall,train_time,fid_time,pr_time,total_time
cifar10,easiest,50,1,28.752735,0.2389,0.221,770.1507742404938,268.8329372406006,313.50982117652893,1352.4935326576233
cifar10,easiest,50,2,24.372158,0.2484,0.2505,765.607577085495,278.12466526031494,312.1301302909851,1355.862372636795
cifar10,easiest,50,3,27.797264,0.2126,0.2479,766.0230317115784,275.5983486175537,313.1078782081604,1354.7292585372925
cifar10,easiest,60,1,24.675898,0.2274,0.2486,914.1430170536041,275.60810232162476,312.6976406574249,1502.4487600326538
cifar10,easiest,60,2,25.473097,0.2475,0.2619,914.0686757564545,276.54764914512634,315.3731994628906,1505.9895243644714
cifar10,easiest,60,3,25.139038,0.2431,0.2633,915.1340477466583,275.4938700199127,311.90402460098267,1502.5319423675537
cifar10,easiest,70,1,27.230259,0.2583,0.2542,1063.4485523700714,273.3316869735718,313.8369092941284,1650.6171486377716
