dataset,strategy,percentage,trial,fid_score,train_time,fid_time,total_time
fashion,hardest,50,1,206.39067258122364,260.18301367759705,9.217595100402832,269.4006087779999
fashion,hardest,50,2,194.31538675353687,257.7323968410492,8.288253784179688,266.0206506252289
fashion,hardest,50,3,187.28002999205933,257.98001170158386,9.120004177093506,267.10001587867737
fashion,hardest,60,1,166.75064216842296,306.1612641811371,8.354304313659668,314.51556849479675
fashion,hardest,60,2,163.25646819509484,308.0798923969269,8.404215574264526,316.4841079711914
fashion,hardest,60,3,168.35009525255947,308.6046185493469,8.704560041427612,317.30917859077454
fashion,hardest,70,1,137.21536954972362,358.54766488075256,8.353291034698486,366.90095591545105
fashion,hardest,70,2,135.58521050903664,356.0279700756073,8.416608810424805,364.4445788860321
fashion,hardest,70,3,137.15473960236397,355.1248209476471,8.359662294387817,363.4844832420349
fashion,hardest,80,1,91.95710806860467,406.17282724380493,8.50909948348999,414.6819267272949
fashion,hardest,80,2,102.93010333031023,404.4507601261139,8.406272649765015,412.8570327758789
fashion,hardest,80,3,91.58379280791378,403.2679648399353,8.409493923187256,411.67745876312256
fashion,hardest,90,1,60.17045660185882,451.08246755599976,8.358374118804932,459.4408416748047
fashion,hardest,90,2,69.8817754510885,452.23213028907776,8.614780187606812,460.84691047668457
fashion,hardest,90,3,63.352971415902374,451.8403391838074,8.452133893966675,460.29247307777405
